Year,Targets ,State,County,Value,Stage
2018,Other,Vermont,"Orange, VT",9,Inquiry
2018,Other,Vermont,"Washington, VT",13,Inquiry
2018,Other,Vermont,Other,43,Inquiry
2018,Other,Rhode Island,Other,27,Inquiry
2017,Other,Connecticut,"Litchfield, CT",29,Inquiry
2017,Other,Connecticut,"Middlesex, CT",23,Inquiry
2017,Other,Connecticut,"New London, CT",40,Inquiry
2017,Other,Connecticut,"Windham, CT",28,Inquiry
2017,Other,Connecticut,Other,33,Inquiry
2017,Other,Massachusetts,"Barnstable, MA",37,Inquiry
2017,Other,Massachusetts,"Berkshire, MA",6,Inquiry
2017,Other,Massachusetts,"Bristol, MA",64,Inquiry
2017,Other,Massachusetts,"Hampden, MA",37,Inquiry
2017,Other,Massachusetts,"Norfolk, MA",122,Inquiry
2017,Other,Massachusetts,"Plymouth, MA",81,Inquiry
2017,Other,Massachusetts,"Suffolk, MA",53,Inquiry
2017,Other,Massachusetts,Other,61,Inquiry
2017,Other,New Hampshire,"Carroll, NH",25,Inquiry
2017,Other,New Hampshire,"Cheshire, NH",13,Inquiry
2017,Other,New Hampshire,"Grafton, NH",16,Inquiry
2017,Other,New Hampshire,"Merrimack, NH",47,Inquiry
2017,Other,New Hampshire,"Sullivan, NH",13,Inquiry
2017,Other,New Hampshire,Other,17,Inquiry
2017,Other,Vermont,"Cheshire, NH",4,Inquiry
2017,Other,Vermont,"Orange, VT",9,Inquiry
2017,Other,Vermont,"Washington, VT",13,Inquiry
2017,Other,Vermont,Other,51,Inquiry
2017,Other,Rhode Island,Other,32,Inquiry
2017,Targeted in 2017,Connecticut,"Fairfield, CT",4,Applicant
2017,Targeted in 2017,Connecticut,"Hartford, CT",15,Applicant
2017,Targeted in 2017,Connecticut,"New Haven, CT",6,Applicant
2017,Targeted in 2017,Massachusetts,"Essex, MA",41,Applicant
2017,Targeted in 2017,Massachusetts,"Middlesex, MA",27,Applicant
2017,Targeted in 2017,Massachusetts,"Worcester, MA",27,Applicant
2017,Targeted in 2017,New Hampshire,"Belknap, NH",7,Applicant
2017,Targeted in 2017,New Hampshire,"Hillsborough, NH",26,Applicant
2017,Targeted in 2017,New Hampshire,"Rockingham, NH",18,Applicant
2017,Targeted in 2017,New Hampshire,"Strafford, NH",17,Applicant
2017,Targeted in 2017,Vermont,"Caledonia, VT",1,Applicant
2017,Targeted in 2017,Vermont,"Chittenden, VT",10,Applicant
2017,Targeted in 2017,Vermont,"Rutland, VT",2,Applicant
2017,Targeted in 2017,Vermont,"Windham, VT",1,Applicant
2017,Targeted in 2017,Vermont,"Windsor, VT",8,Applicant
2017,Targeted in 2017,Rhode Island,"Providence, RI",9,Applicant
2017,Targeted in 2017,Rhode Island,"Washington, RI",2,Applicant
2018,Targeted in 2018,Connecticut,"Fairfield, CT",6,Applicant
2018,Targeted in 2018,Connecticut,"Hartford, CT",13,Applicant
2018,Targeted in 2018,Connecticut,"New Haven, CT",3,Applicant
2018,Targeted in 2018,Massachusetts,"Essex, MA",45,Applicant
2018,Targeted in 2018,Massachusetts,"Middlesex, MA",58,Applicant
2018,Targeted in 2018,Massachusetts,"Worcester, MA",15,Applicant
2018,Targeted in 2018,New Hampshire,"Belknap, NH",10,Applicant
2018,Targeted in 2018,New Hampshire,"Hillsborough, NH",28,Applicant
2018,Targeted in 2018,New Hampshire,"Rockingham, NH",43,Applicant
2018,Targeted in 2018,New Hampshire,"Strafford, NH",14,Applicant
2018,Targeted in 2018,Vermont,"Caledonia, VT",4,Applicant
2018,Targeted in 2018,Vermont,"Chittenden, VT",10,Applicant
2018,Targeted in 2018,Vermont,"Rutland, VT",4,Applicant
2018,Targeted in 2018,Vermont,"Windham, VT",2,Applicant
2018,Targeted in 2018,Vermont,"Windsor, VT",7,Applicant
2018,Targeted in 2018,Rhode Island,"Providence, RI",3,Applicant
2018,Targeted in 2018,Rhode Island,"Washington, RI",2,Applicant
2019,Targeted in 2019,Connecticut,"Fairfield, CT",9,Applicant
2019,Targeted in 2019,Connecticut,"Hartford, CT",10,Applicant
